Transaction_ID,Date,Year,Month,Quarter,Region,Customer_ID,Customer_Segment,Department,Product,Units_Sold,Unit_Price,Gross_Revenue,Discount,Net_Revenue,COGS,Marketing_Expense,Operating_Expense,Total_Expense,Profit,Profit_Margin,Payment_Method,Payment_Status,Budget_Target,Variance_vs_Budget
TXN-00011,2024-05-08,2024,May,Q2,Abu Dhabi,CUST-0136,Hospitality,Logistics,Consulting Service,2,"3,894.67","7,789.34",508.50,"7,280.84","3,589.59",378.33,483.08,"4,451.00","2,829.84",38.87%,Online,Overdue,"7,848.20",-567.36
TXN-00012,2025-05-16,2025,May,Q2,Dubai,CUST-0174,Corporate,HR,Data Analytics Package,4,"5,525.90","22,103.60",881.92,"21,221.68","8,780.15",899.91,"3,542.96","13,223.02","7,998.66",37.69%,Online,Paid,"21,549.47",-327.79
TXN-00013,2024-04-16,2024,Apr,Q2,Fujairah,CUST-0249,SME,HR,Data Analytics Package,1,"4,241.99","4,241.99",267.71,"3,974.28","1,503.53",295.39,642.85,"2,441.77","1,532.51",38.56%,Credit Card,Paid,"3,581.85",392.43
TXN-00014,2025-08-26,2025,Aug,Q3,Fujairah,CUST-0335,Corporate,Sales,Data Analytics Package,8,"5,714.99","45,719.92",870.55,"44,849.37","16,493.56","2,056.93","4,712.11","23,262.60","21,586.77",48.13%,Cheque,Paid,"45,751.17",-901.80
TXN-00015,2024-11-25,2024,Nov,Q4,Umm Al Quwain,CUST-0442,Hospitality,Sales,Consulting Service,4,"3,138.23","12,552.92",538.56,"12,014.36","5,017.39",372.56,"1,323.28","6,713.23","5,301.13",44.12%,Bank Transfer,Paid,"13,724.55","-1,710.19"
TXN-00016,2023-01-31,2023,Jan,Q1,Sharjah,CUST-0475,Government,Operations,Consulting Service,4,"3,102.84","12,411.36",482.20,"11,929.16","5,060.79",525.63,687.39,"6,273.81","5,655.35",47.41%,Cheque,Overdue,"11,853.91",75.25
TXN-00017,2025-09-23,2025,Sep,Q3,Ras Al Khaimah,CUST-0471,Hospitality,Marketing,Training Program,7,844.81,"5,913.67",687.44,"5,226.23","2,760.68",274.54,769.49,"3,804.71","1,421.52",27.20%,Bank Transfer,Paid,"4,688.71",537.52
TXN-00018,2025-11-06,2025,Nov,Q4,Dubai,CUST-0318,Corporate,Finance,Consulting Service,3,"2,965.93","8,897.79",48.38,"8,849.41","4,270.40",391.38,"1,525.70","6,187.48","2,661.93",30.08%,Online,Paid,"9,299.87",-450.46
TXN-00019,2025-12-06,2025,Dec,Q4,Umm Al Quwain,CUST-0480,Corporate,Sales,Maintenance Contract,30,"1,386.46","41,593.80","2,785.64","38,808.16","24,287.85","1,394.64","2,600.70","28,283.19","10,524.97",27.12%,Cheque,Paid,"41,666.39","-2,858.23"
TXN-00020,2023-07-24,2023,Jul,Q3,Ras Al Khaimah,CUST-0361,Retail,HR,Consulting Service,4,"3,578.24","14,312.96",151.67,"14,161.29","6,180.14",341.68,"1,157.78","7,679.60","6,481.69",45.77%,Online,Paid,"13,672.67",488.62
TXN-00021,2023-01-17,2023,Jan,Q1,Ras Al Khaimah,CUST-0108,Retail,Marketing,Cloud Support,30,"1,953.64","58,609.20","8,254.49","50,354.71","28,003.01","1,355.84","3,218.41","32,577.26","17,777.45",35.30%,Cash,Paid,"52,669.37","-2,314.66"
TXN-00022,2025-11-01,2025,Nov,Q4,Fujairah,CUST-0135,SME,IT,Security Audit,5,"4,964.97","24,824.85","1,470.31","23,354.54","10,725.10","1,060.64","2,007.75","13,793.49","9,561.05",40.94%,Cheque,Pending,"20,576.84","2,777.70"
TXN-00023,2025-05-25,2025,May,Q2,Abu Dhabi,CUST-0022,Retail,Operations,Software Subscription,4,"1,020.12","4,080.48",648.63,"3,431.85","2,151.27",180.98,543.94,"2,876.19",555.66,16.19%,Bank Transfer,Paid,"3,619.75",-187.90
TXN-00024,2025-01-02,2025,Jan,Q1,Abu Dhabi,CUST-0443,SME,Logistics,Data Analytics Package,4,"5,433.87","21,735.48",768.74,"20,966.74","8,487.14","1,519.73","3,702.70","13,709.57","7,257.17",34.61%,Credit Card,Pending,"23,164.96","-2,198.22"
TXN-00025,2025-04-24,2025,Apr,Q2,Umm Al Quwain,CUST-0360,Corporate,Finance,Software Subscription,6,"1,337.55","8,025.30",479.86,"7,545.44","4,753.44",514.10,"1,224.84","6,492.38","1,053.06",13.96%,Bank Transfer,Paid,"8,475.23",-929.79
TXN-00026,2025-08-21,2025,Aug,Q3,Sharjah,CUST-0143,Corporate,Logistics,Data Analytics Package,4,"5,733.17","22,932.68","1,055.60","21,877.08","8,409.88","1,481.53","1,741.14","11,632.55","10,244.53",46.83%,Cash,Paid,"19,407.14","2,469.94"
TXN-00027,2024-12-20,2024,Dec,Q4,Sharjah,CUST-0020,Corporate,HR,Hardware Setup,22,"3,152.40","69,352.80","7,437.61","61,915.19","50,515.71","1,666.79","10,906.49","63,088.99","-1,173.80",-1.90%,Cheque,Overdue,"57,802.19","4,113.00"
TXN-00028,2024-12-08,2024,Dec,Q4,Umm Al Quwain,CUST-0276,SME,Operations,Maintenance Contract,14,"1,593.73","22,312.22","1,141.10","21,171.12","13,445.26","1,155.84","1,759.61","16,360.71","4,810.41",22.72%,Cheque,Paid,"23,132.32","-1,961.20"
TXN-00029,2023-05-24,2023,May,Q2,Sharjah,CUST-0284,SME,Marketing,Maintenance Contract,20,"1,418.35","28,367.00","2,405.56","25,961.44","17,616.60",987.04,"2,341.90","20,945.54","5,015.90",19.32%,Cheque,Paid,"26,026.81",-65.37
TXN-00030,2025-02-15,2025,Feb,Q1,Sharjah,CUST-0239,Government,Finance,Training Program,20,942.88,"18,857.60",918.91,"17,938.69","9,950.72",685.84,"1,387.09","12,023.65","5,915.04",32.97%,Credit Card,Paid,"20,014.69","-2,076.00"
TXN-00031,2025-11-12,2025,Nov,Q4,Sharjah,CUST-0116,SME,Marketing,Security Audit,3,"4,550.87","13,652.61",271.21,"13,381.40","6,909.96",764.82,831.52,"8,506.30","4,875.10",36.43%,Bank Transfer,Paid,"15,597.36","-2,215.96"
TXN-00032,2023-04-05,2023,Apr,Q2,Ajman,CUST-0125,SME,IT,Data Analytics Package,8,"5,322.55","42,580.40","3,272.26","39,308.14","15,583.06","2,876.11","4,907.12","23,366.29","15,941.85",40.56%,Bank Transfer,Paid,"43,062.22","-3,754.08"
TXN-00033,2023-08-07,2023,Aug,Q3,Umm Al Quwain,CUST-0238,Hospitality,HR,Hardware Setup,8,"2,314.92","18,519.36","3,548.18","14,971.18","11,268.71",344.53,"1,233.56","12,846.80","2,124.38",14.19%,Online,Paid,"16,984.82","-2,013.64"
TXN-00034,2024-10-11,2024,Oct,Q4,Fujairah,CUST-0142,Hospitality,Finance,Security Audit,7,"4,839.36","33,875.52","1,299.16","32,576.36","17,582.14","2,105.06","3,639.03","23,326.23","9,250.13",28.40%,Credit Card,Paid,"31,200.25","1,376.11"
TXN-00035,2024-07-16,2024,Jul,Q3,Abu Dhabi,CUST-0362,SME,Sales,Security Audit,2,"4,642.76","9,285.52",152.42,"9,133.10","4,416.63",672.03,552.33,"5,640.99","3,492.11",38.24%,Cheque,Paid,"8,450.39",682.71
TXN-00036,2025-04-14,2025,Apr,Q2,Umm Al Quwain,CUST-0295,Government,Finance,Maintenance Contract,18,"1,509.55","27,171.90",169.19,"27,002.71","18,720.33","1,171.07","4,052.39","23,943.79","3,058.92",11.33%,Bank Transfer,Paid,"31,426.26","-4,423.55"
TXN-00037,2024-12-21,2024,Dec,Q4,Ajman,CUST-0113,Retail,Finance,Cloud Support,25,"1,756.79","43,919.75","5,874.10","38,045.65","24,360.15","1,989.53","5,535.73","31,885.41","6,160.24",16.19%,Cheque,Pending,"42,609.62","-4,563.97"
TXN-00038,2023-03-01,2023,Mar,Q1,Ajman,CUST-0304,Hospitality,IT,Hardware Setup,11,"2,827.63","31,103.93","4,965.07","26,138.86","20,483.12","1,840.97","4,431.59","26,755.68",-616.82,-2.36%,Bank Transfer,Paid,"30,692.68","-4,553.82"
TXN-00039,2023-06-21,2023,Jun,Q2,Sharjah,CUST-0386,Government,Operations,Hardware Setup,5,"3,033.53","15,167.65",551.28,"14,616.37","10,436.43",579.41,"1,594.81","12,610.65","2,005.72",13.72%,Bank Transfer,Pending,"14,342.32",274.05
TXN-00040,2025-08-21,2025,Aug,Q3,Abu Dhabi,CUST-0103,Corporate,HR,Software Subscription,24,"1,242.92","29,830.08","5,368.92","24,461.16","13,761.74","1,443.42","3,707.34","18,912.50","5,548.66",22.68%,Credit Card,Paid,"26,308.62","-1,847.46"
TXN-00041,2024-05-03,2024,May,Q2,Fujairah,CUST-0368,Corporate,Logistics,Training Program,16,979.01,"15,664.16","1,060.09","14,604.07","7,165.75",904.98,"2,186.18","10,256.91","4,347.16",29.77%,Credit Card,Paid,"13,586.70","1,017.37"
TXN-00042,2024-09-29,2024,Sep,Q3,Umm Al Quwain,CUST-0322,SME,Sales,Consulting Service,1,"4,170.44","4,170.44",192.11,"3,978.33","1,936.34",169.15,685.83,"2,791.32","1,187.01",29.84%,Cash,Paid,"3,737.64",240.69
TXN-00043,2023-09-05,2023,Sep,Q3,Ajman,CUST-0492,Retail,IT,Software Subscription,12,"1,239.72","14,876.64","1,771.42","13,105.22","6,945.75",771.28,676.82,"8,393.85","4,711.37",35.95%,Cheque,Paid,"13,184.08",-78.86
TXN-00044,2023-11-10,2023,Nov,Q4,Fujairah,CUST-0304,Retail,Operations,Hardware Setup,6,"2,895.15","17,370.90","3,354.23","14,016.67","10,029.10",960.03,"1,681.47","12,670.60","1,346.07",9.60%,Credit Card,Paid,"14,367.78",-351.11
TXN-00045,2023-06-27,2023,Jun,Q2,Ajman,CUST-0109,Retail,Logistics,Cloud Support,29,"1,800.58","52,216.82","5,878.12","46,338.70","28,191.63","2,784.55","4,343.40","35,319.58","11,019.12",23.78%,Cash,Paid,"47,649.71","-1,311.01"
TXN-00046,2024-11-28,2024,Nov,Q4,Ras Al Khaimah,CUST-0389,SME,IT,Cloud Support,29,"1,905.23","55,251.67","7,294.11","47,957.56","29,095.61","2,445.72","3,589.02","35,130.35","12,827.21",26.75%,Cheque,Paid,"45,675.11","2,282.45"
TXN-00047,2025-10-02,2025,Oct,Q4,Ajman,CUST-0382,Hospitality,Operations,Security Audit,1,"3,600.33","3,600.33",55.85,"3,544.48","1,840.22",136.01,445.19,"2,421.42","1,123.06",31.68%,Cash,Paid,"3,622.38",-77.90
TXN-00048,2025-07-18,2025,Jul,Q3,Abu Dhabi,CUST-0379,Government,Operations,Cloud Support,10,"1,657.01","16,570.10",299.89,"16,270.21","9,161.92",442.12,"1,946.93","11,550.97","4,719.24",29.01%,Online,Paid,"18,038.08","-1,767.87"
TXN-00049,2025-12-10,2025,Dec,Q4,Dubai,CUST-0284,Retail,IT,Cloud Support,4,"2,075.49","8,301.96",368.91,"7,933.05","4,627.39",302.54,"1,126.83","6,056.76","1,876.29",23.65%,Credit Card,Paid,"7,282.34",650.71
TXN-00050,2025-10-02,2025,Oct,Q4,Umm Al Quwain,CUST-0034,Government,Finance,Consulting Service,1,"3,673.69","3,673.69",137.95,"3,535.74","1,572.14",109.83,200.40,"1,882.37","1,653.37",46.76%,Bank Transfer,Paid,"4,109.66",-573.92
TXN-00051,2023-04-20,2023,Apr,Q2,Ras Al Khaimah,CUST-0116,Hospitality,Finance,Training Program,5,"1,030.01","5,150.05",586.57,"4,563.48","2,176.14",159.23,559.25,"2,894.62","1,668.86",36.57%,Cheque,Paid,"4,585.62",-22.14
TXN-00052,2025-06-25,2025,Jun,Q2,Fujairah,CUST-0109,Retail,IT,Cloud Support,28,"1,899.74","53,192.72","3,421.59","49,771.13","30,272.57","1,175.29","8,700.70","40,148.56","9,622.57",19.33%,Bank Transfer,Pending,"45,280.28","4,490.85"
TXN-00053,2023-11-18,2023,Nov,Q4,Sharjah,CUST-0360,Government,Sales,Data Analytics Package,3,"5,203.98","15,611.94",244.38,"15,367.56","6,034.56",942.99,"1,707.16","8,684.71","6,682.85",43.49%,Credit Card,Paid,"13,673.93","1,693.63"
TXN-00054,2024-06-25,2024,Jun,Q2,Ras Al Khaimah,CUST-0384,Hospitality,Operations,Data Analytics Package,7,"4,329.55","30,306.85",681.33,"29,625.52","11,018.30","1,064.68","2,029.07","14,112.05","15,513.47",52.37%,Cheque,Pending,"26,600.50","3,025.02"
TXN-00055,2023-09-12,2023,Sep,Q3,Sharjah,CUST-0310,Retail,Sales,Security Audit,5,"4,619.55","23,097.75","1,524.16","21,573.59","10,787.81","1,070.65","1,304.28","13,162.74","8,410.85",38.99%,Bank Transfer,Paid,"19,242.74","2,330.85"
TXN-00056,2024-04-13,2024,Apr,Q2,Abu Dhabi,CUST-0300,Government,IT,Software Subscription,25,"1,306.70","32,667.50","1,584.77","31,082.73","16,370.24","2,032.07","3,455.32","21,857.63","9,225.10",29.68%,Cheque,Pending,"33,428.01","-2,345.28"
TXN-00057,2023-07-06,2023,Jul,Q3,Ajman,CUST-0417,Hospitality,Sales,Security Audit,6,"4,130.02","24,780.12",556.91,"24,223.21","11,153.82",718.21,"2,507.44","14,379.47","9,843.74",40.64%,Cheque,Paid,"24,916.98",-693.77
TXN-00058,2023-06-30,2023,Jun,Q2,Ajman,CUST-0028,SME,HR,Maintenance Contract,9,"1,423.96","12,815.64","1,243.35","11,572.29","7,377.83",588.75,"2,065.14","10,031.72","1,540.57",13.31%,Cash,Paid,"12,466.81",-894.52
TXN-00059,2025-10-17,2025,Oct,Q4,Ras Al Khaimah,CUST-0410,SME,IT,Security Audit,1,"3,785.98","3,785.98",145.55,"3,640.43","1,975.91",168.50,512.47,"2,656.88",983.55,27.02%,Credit Card,Overdue,"3,336.19",304.24
TXN-00060,2024-09-28,2024,Sep,Q3,Fujairah,CUST-0150,Hospitality,IT,Software Subscription,18,"1,179.84","21,237.12",858.96,"20,378.16","12,626.37",546.29,"3,527.82","16,700.48","3,677.68",18.05%,Cash,Paid,"21,892.52","-1,514.36"
TXN-00061,2025-04-30,2025,Apr,Q2,Sharjah,CUST-0396,Government,Operations,Security Audit,8,"3,853.47","30,827.76","1,189.60","29,638.16","14,474.05","2,232.11","3,440.14","20,146.30","9,491.86",32.03%,Online,Pending,"33,900.06","-4,261.90"
TXN-00062,2024-07-01,2024,Jul,Q3,Sharjah,CUST-0283,Hospitality,Finance,Software Subscription,10,"1,332.50","13,325.00","2,008.69","11,316.31","6,668.37",674.41,"1,838.72","9,181.50","2,134.81",18.86%,Cheque,Paid,"11,474.33",-158.02
TXN-00063,2024-10-21,2024,Oct,Q4,Ajman,CUST-0340,SME,Finance,Data Analytics Package,4,"5,243.60","20,974.40",489.88,"20,484.52","8,645.36",463.34,"3,007.37","12,116.07","8,368.45",40.85%,Bank Transfer,Pending,"22,360.25","-1,875.73"
TXN-00064,2023-09-16,2023,Sep,Q3,Abu Dhabi,CUST-0039,Government,Logistics,Maintenance Contract,28,"1,290.22","36,126.16","3,052.80","33,073.36","19,776.63","2,468.15","1,719.66","23,964.44","9,108.92",27.54%,Cash,Pending,"30,534.87","2,538.49"
TXN-00065,2024-11-24,2024,Nov,Q4,Ajman,CUST-0447,Hospitality,Sales,Hardware Setup,21,"2,215.53","46,526.13","3,057.38","43,468.75","33,738.43","2,261.13","7,565.22","43,564.78",-96.03,-0.22%,Online,Pending,"46,426.35","-2,957.60"
TXN-00066,2023-05-21,2023,May,Q2,Fujairah,CUST-0154,Corporate,Sales,Data Analytics Package,5,"6,094.85","30,474.25","2,275.71","28,198.54","11,130.46",730.53,"3,733.13","15,594.12","12,604.42",44.70%,Cash,Paid,"32,196.35","-3,997.81"
TXN-00067,2023-04-25,2023,Apr,Q2,Umm Al Quwain,CUST-0196,Hospitality,IT,Cloud Support,12,"1,745.89","20,950.68",457.47,"20,493.21","12,372.57","1,105.73","3,136.03","16,614.33","3,878.88",18.93%,Credit Card,Paid,"19,079.08","1,414.13"
TXN-00068,2025-10-16,2025,Oct,Q4,Abu Dhabi,CUST-0038,Government,Operations,Training Program,8,904.01,"7,232.08",220.41,"7,011.67","3,467.65",144.19,"1,084.02","4,695.86","2,315.81",33.03%,Online,Paid,"8,065.96","-1,054.29"
TXN-00069,2024-09-04,2024,Sep,Q3,Ras Al Khaimah,CUST-0152,Retail,Sales,Hardware Setup,23,"2,392.10","55,018.30","9,301.44","45,716.86","32,225.02","1,969.56","5,157.64","39,352.22","6,364.64",13.92%,Cheque,Paid,"43,484.13","2,232.73"
TXN-00070,2024-07-16,2024,Jul,Q3,Umm Al Quwain,CUST-0410,SME,HR,Software Subscription,19,"1,399.23","26,585.37","3,724.51","22,860.86","14,515.23","1,706.27","3,357.63","19,579.13","3,281.73",14.36%,Cash,Pending,"25,829.38","-2,968.52"
TXN-00071,2024-03-24,2024,Mar,Q1,Sharjah,CUST-0404,Government,Sales,Data Analytics Package,5,"5,455.53","27,277.65","1,966.52","25,311.13","10,446.78","1,779.38","3,332.77","15,558.93","9,752.20",38.53%,Online,Paid,"29,133.64","-3,822.51"
TXN-00072,2025-01-17,2025,Jan,Q1,Ras Al Khaimah,CUST-0468,Retail,Logistics,Training Program,3,"1,065.47","3,196.41",125.32,"3,071.09","1,569.98",98.42,467.56,"2,135.96",935.13,30.45%,Credit Card,Paid,"3,510.07",-438.98
TXN-00073,2024-06-10,2024,Jun,Q2,Fujairah,CUST-0346,Government,Logistics,Security Audit,5,"4,698.22","23,491.10",556.98,"22,934.12","10,584.49","1,783.67","1,566.36","13,934.52","8,999.60",39.24%,Online,Pending,"26,831.78","-3,897.66"
TXN-00074,2025-01-19,2025,Jan,Q1,Sharjah,CUST-0056,SME,Finance,Consulting Service,7,"2,889.49","20,226.43",868.24,"19,358.19","8,632.41","1,168.65","2,659.90","12,460.96","6,897.23",35.63%,Bank Transfer,Pending,"20,430.01","-1,071.82"
TXN-00075,2024-11-02,2024,Nov,Q4,Ajman,CUST-0060,Corporate,Marketing,Data Analytics Package,2,"5,370.81","10,741.62",498.70,"10,242.92","4,261.94",603.86,667.51,"5,533.31","4,709.61",45.98%,Online,Paid,"9,153.11","1,089.81"
TXN-00076,2023-10-05,2023,Oct,Q4,Fujairah,CUST-0051,Government,HR,Hardware Setup,15,"2,517.85","37,767.75","7,171.20","30,596.55","23,849.17","1,603.61","3,866.00","29,318.78","1,277.77",4.18%,Cheque,Pending,"33,594.39","-2,997.84"
TXN-00077,2024-07-26,2024,Jul,Q3,Fujairah,CUST-0184,Corporate,Finance,Software Subscription,23,"1,161.85","26,722.55","2,132.70","24,589.85","15,547.29","1,753.92","1,547.10","18,848.31","5,741.54",23.35%,Cash,Paid,"26,697.30","-2,107.45"
TXN-00078,2024-01-24,2024,Jan,Q1,Umm Al Quwain,CUST-0290,SME,Sales,Consulting Service,8,"2,998.34","23,986.72",407.02,"23,579.70","10,906.89","1,845.48","1,334.03","14,086.40","9,493.30",40.26%,Online,Overdue,"23,109.35",470.35
TXN-00079,2024-02-29,2024,Feb,Q1,Sharjah,CUST-0409,SME,Sales,Data Analytics Package,4,"4,757.12","19,028.48",280.77,"18,747.71","8,099.81",378.14,"3,029.49","11,507.44","7,240.27",38.62%,Bank Transfer,Paid,"17,311.76","1,435.95"
TXN-00080,2023-09-27,2023,Sep,Q3,Fujairah,CUST-0033,Government,Finance,Software Subscription,12,"1,363.19","16,358.28",700.59,"15,657.69","8,761.38",476.85,889.54,"10,127.77","5,529.92",35.32%,Cash,Paid,"17,262.84","-1,605.15"
TXN-00081,2025-11-17,2025,Nov,Q4,Dubai,CUST-0032,Government,Logistics,Consulting Service,8,"3,575.37","28,602.96","2,163.33","26,439.63","10,811.24","1,771.29","4,301.93","16,884.46","9,555.17",36.14%,Cheque,Paid,"27,402.97",-963.34
TXN-00082,2025-05-23,2025,May,Q2,Ras Al Khaimah,CUST-0281,Retail,Finance,Consulting Service,8,"3,867.36","30,938.88","1,097.87","29,841.01","14,500.76","1,173.55","2,067.49","17,741.80","12,099.21",40.55%,Online,Paid,"27,389.79","2,451.22"
TXN-00083,2025-12-22,2025,Dec,Q4,Umm Al Quwain,CUST-0111,Government,Finance,Cloud Support,15,"1,840.00","27,600.00","1,781.03","25,818.97","16,399.47",693.62,"3,488.47","20,581.56","5,237.41",20.29%,Credit Card,Paid,"29,519.13","-3,700.16"
TXN-00084,2025-04-27,2025,Apr,Q2,Ajman,CUST-0035,Corporate,Logistics,Maintenance Contract,27,"1,502.10","40,556.70","1,687.12","38,869.58","23,219.18","1,772.68","5,304.30","30,296.16","8,573.42",22.06%,Bank Transfer,Paid,"38,569.91",299.67
TXN-00085,2023-07-10,2023,Jul,Q3,Ajman,CUST-0182,Government,Logistics,Hardware Setup,4,"2,906.37","11,625.48",866.44,"10,759.04","7,472.34",253.90,"1,875.96","9,602.20","1,156.84",10.75%,Bank Transfer,Paid,"11,280.91",-521.87
TXN-00086,2024-08-12,2024,Aug,Q3,Dubai,CUST-0391,Retail,HR,Cloud Support,12,"1,550.59","18,607.08","1,416.22","17,190.86","9,602.26",841.17,"2,753.04","13,196.47","3,994.39",23.24%,Credit Card,Paid,"16,933.58",257.28
TXN-00087,2025-05-28,2025,May,Q2,Dubai,CUST-0093,SME,HR,Software Subscription,20,"1,429.96","28,599.20","4,269.94","24,329.26","13,454.66",749.95,"3,438.96","17,643.57","6,685.69",27.48%,Cheque,Paid,"23,664.96",664.30
TXN-00088,2023-05-23,2023,May,Q2,Fujairah,CUST-0167,Hospitality,HR,Training Program,24,965.94,"23,182.56",85.29,"23,097.27","12,601.77",760.08,"2,415.47","15,777.32","7,319.95",31.69%,Bank Transfer,Paid,"22,687.73",409.54
TXN-00089,2023-04-18,2023,Apr,Q2,Abu Dhabi,CUST-0387,Hospitality,Sales,Training Program,6,"1,009.60","6,057.60",36.17,"6,021.43","2,869.12",280.52,632.98,"3,782.62","2,238.81",37.18%,Cash,Paid,"6,395.50",-374.07
TXN-00090,2025-05-30,2025,May,Q2,Abu Dhabi,CUST-0155,SME,Logistics,Consulting Service,5,"3,819.51","19,097.55",906.19,"18,191.36","8,230.21",700.46,"1,431.07","10,361.74","7,829.62",43.04%,Credit Card,Paid,"21,380.92","-3,189.56"
TXN-00091,2024-06-07,2024,Jun,Q2,Fujairah,CUST-0413,Retail,Sales,Cloud Support,11,"1,562.39","17,186.29","1,282.23","15,904.06","9,410.09",441.36,"1,896.33","11,747.78","4,156.28",26.13%,Cheque,Paid,"15,093.48",810.58
TXN-00092,2023-03-28,2023,Mar,Q1,Ajman,CUST-0011,Retail,Marketing,Hardware Setup,1,"2,610.14","2,610.14",40.65,"2,569.49","1,855.07",117.57,263.57,"2,236.21",333.28,12.97%,Online,Paid,"2,754.60",-185.11
TXN-00093,2025-07-31,2025,Jul,Q3,Abu Dhabi,CUST-0171,SME,Sales,Maintenance Contract,3,"1,492.03","4,476.09",47.39,"4,428.70","2,841.62",194.98,266.71,"3,303.31","1,125.39",25.41%,Online,Paid,"5,053.84",-625.14
TXN-00094,2023-08-22,2023,Aug,Q3,Abu Dhabi,CUST-0390,Corporate,Marketing,Data Analytics Package,6,"4,802.20","28,813.20","2,760.95","26,052.25","10,724.03",751.90,"1,650.79","13,126.72","12,925.53",49.61%,Cheque,Paid,"24,926.54","1,125.71"
TXN-00095,2025-08-08,2025,Aug,Q3,Dubai,CUST-0181,Hospitality,Sales,Security Audit,6,"4,895.93","29,375.58","1,289.74","28,085.84","13,062.60",676.79,"3,018.86","16,758.25","11,327.59",40.33%,Cash,Paid,"27,267.03",818.81
TXN-00096,2025-08-03,2025,Aug,Q3,Ajman,CUST-0298,Hospitality,Logistics,Security Audit,1,"3,539.58","3,539.58",206.07,"3,333.51","1,525.66",239.53,537.32,"2,302.51","1,031.00",30.93%,Bank Transfer,Paid,"3,548.53",-215.02
TXN-00097,2025-07-10,2025,Jul,Q3,Dubai,CUST-0259,SME,Sales,Data Analytics Package,6,"5,310.01","31,860.06","1,597.36","30,262.70","13,213.23","1,423.30","4,703.60","19,340.13","10,922.57",36.09%,Credit Card,Overdue,"34,233.56","-3,970.86"
TXN-00098,2025-06-15,2025,Jun,Q2,Sharjah,CUST-0034,Retail,Sales,Security Audit,3,"4,055.35","12,166.05",781.74,"11,384.31","5,563.99",756.69,"1,573.96","7,894.64","3,489.67",30.65%,Online,Paid,"10,197.04","1,187.27"
TXN-00099,2025-03-02,2025,Mar,Q1,Sharjah,CUST-0159,Government,Marketing,Cloud Support,9,"1,997.09","17,973.81","1,770.14","16,203.67","10,512.31","1,173.09","1,512.40","13,197.80","3,005.87",18.55%,Online,Paid,"17,091.99",-888.32
